div,data,TeamBlue,TeamPurple,MPB,MPP,MR,TRB,TRP,FRR,RB,RP,W10B,L10B,W10P,L10P,HWB,HWP,GBB,GBP,BO,url
lcs-s-16,2016-02-01,Counter Logic Gaming LoL,Renegades - LoL,1,0,B,11,33,B,1221,1052,27.0,13.0,27.0,13.0,0.0,100.0,0.0,100.0,1,http://www.gosugamers.net/lol/tournaments/8554-2016-na-lcs-spring/matches/98262-counter-logic-gaming-lol-vs-renegades-lol
lcs-s-16,2016-02-29,Renegades - LoL,Team Dignitas - LoL,1,0,B,33,58,B,1052,892,7.0,22.0,7.0,22.0,100.0,0.0,29.0,71.0,1,http://www.gosugamers.net/lol/tournaments/8554-2016-na-lcs-spring/matches/98327-renegades-lol-vs-team-dignitas-lol
lcs-s-16,2016-02-27,Team Solomid,Echo Fox,1,0,B,23,48,B,1126,962,20.0,11.0,20.0,11.0,0.0,100.0,58.0,42.0,1,http://www.gosugamers.net/lol/tournaments/8554-2016-na-lcs-spring/matches/98318-team-solomid-vs-echo-fox
lcs-s-16,2016-02-22,Team Liquid LoL,Immortals,0,1,P,22,5,P,1131,1284,20.0,2.0,20.0,2.0,100.0,0.0,30.0,70.0,1,http://www.gosugamers.net/lol/tournaments/8554-2016-na-lcs-spring/matches/98317-team-liquid-lol-vs-immortals
lcs-s-16,2016-02-07,Team Impulse,NRG eSports,0,1,P,45,37,P,972,1022,15.0,10.0,15.0,10.0,0.0,100.0,41.0,59.0,1,http://www.gosugamers.net/lol/tournaments/8554-2016-na-lcs-spring/matches/98271-team-impulse-vs-nrg-esports
lcs-s-16,2016-03-21,Team Solomid,NRG eSports,0,1,P,23,37,P,1126,1022,20.0,10.0,20.0,10.0,100.0,0.0,72.0,28.0,1,http://www.gosugamers.net/lol/tournaments/8554-2016-na-lcs-spring/matches/98312-team-solomid-vs-nrg-esports
lcs-s-16,2016-02-08,Team Impulse,Counter Logic Gaming LoL,0,1,P,45,11,P,972,1221,15.0,15.0,15.0,15.0,66.66666666666667,33.333333333333336,41.0,59.0,1,http://www.gosugamers.net/lol/tournaments/8554-2016-na-lcs-spring/matches/98283-team-impulse-vs-counter-logic-gaming-lol
lcs-s-16,2016-02-28,Team Impulse,NRG eSports,1,0,B,45,37,B,972,1022,15.0,10.0,15.0,10.0,100.0,0.0,42.0,58.0,1,http://www.gosugamers.net/lol/tournaments/8554-2016-na-lcs-spring/matches/98316-team-impulse-vs-nrg-esports
lcs-s-16,2016-02-06,Team Liquid LoL,Team Dignitas - LoL,1,0,B,22,58,B,1131,892,20.0,22.0,20.0,22.0,37.5,62.5,63.0,37.0,1,http://www.gosugamers.net/lol/tournaments/8554-2016-na-lcs-spring/matches/98278-team-liquid-lol-vs-team-dignitas-lol
lcs-s-16,2016-03-20,Immortals,Team Impulse,1,0,B,5,45,B,1284,972,18.0,18.0,18.0,18.0,0.0,100.0,87.0,13.0,1,http://www.gosugamers.net/lol/tournaments/8554-2016-na-lcs-spring/matches/98343-immortals-vs-team-impulse
lcs-s-16,2016-02-14,Cloud 9,Immortals,0,1,P,19,5,P,1141,1284,22.0,2.0,22.0,2.0,100.0,0.0,38.0,62.0,1,http://www.gosugamers.net/lol/tournaments/8554-2016-na-lcs-spring/matches/98325-cloud-9-vs-immortals
lcs-s-16,2016-01-18,Cloud 9,Echo Fox,1,0,B,19,48,B,1141,962,22.0,11.0,22.0,11.0,0.0,100.0,0.0,100.0,1,http://www.gosugamers.net/lol/tournaments/8554-2016-na-lcs-spring/matches/98285-cloud-9-vs-echo-fox
lcs-s-16,2016-02-07,Cloud 9,NRG eSports,1,0,B,19,37,B,1141,1022,22.0,10.0,22.0,10.0,0.0,100.0,38.0,62.0,1,http://www.gosugamers.net/lol/tournaments/8554-2016-na-lcs-spring/matches/98275-cloud-9-vs-nrg-esports
lcs-s-16,2016-02-13,Echo Fox,Renegades - LoL,1,0,B,48,33,B,962,1052,6.0,13.0,6.0,13.0,100.0,0.0,51.0,49.0,1,http://www.gosugamers.net/lol/tournaments/8554-2016-na-lcs-spring/matches/98258-echo-fox-vs-renegades-lol
lcs-s-16,2016-03-20,Cloud 9,Echo Fox,1,0,B,19,48,B,1141,962,22.0,11.0,22.0,11.0,0.0,100.0,91.0,9.0,1,http://www.gosugamers.net/lol/tournaments/8554-2016-na-lcs-spring/matches/98330-cloud-9-vs-echo-fox
lcs-s-16,2016-01-17,NRG eSports,Renegades - LoL,1,0,B,37,33,B,1022,1052,8.0,13.0,8.0,13.0,0.0,100.0,0.0,100.0,1,http://www.gosugamers.net/lol/tournaments/8554-2016-na-lcs-spring/matches/98299-nrg-esports-vs-renegades-lol
lcs-s-16,2016-02-15,Team Dignitas - LoL,Team Impulse,0,1,P,58,45,P,892,972,7.0,18.0,7.0,18.0,66.66666666666667,33.333333333333336,66.0,34.0,1,http://www.gosugamers.net/lol/tournaments/8554-2016-na-lcs-spring/matches/98302-team-dignitas-lol-vs-team-impulse
lcs-s-16,2016-03-20,Cloud 9,Team Liquid LoL,0,1,P,19,22,P,1141,1131,22.0,13.0,22.0,13.0,25.0,75.0,77.0,23.0,1,http://www.gosugamers.net/lol/tournaments/8554-2016-na-lcs-spring/matches/98305-cloud-9-vs-team-liquid-lol
lcs-s-16,2016-02-13,NRG eSports,Counter Logic Gaming LoL,0,1,P,37,11,P,1022,1221,8.0,15.0,8.0,15.0,100.0,0.0,16.0,84.0,1,http://www.gosugamers.net/lol/tournaments/8554-2016-na-lcs-spring/matches/98287-nrg-esports-vs-counter-logic-gaming-lol
lcs-s-16,2016-03-14,Echo Fox,Counter Logic Gaming LoL,0,1,P,48,11,P,962,1221,6.0,15.0,6.0,15.0,100.0,0.0,21.0,79.0,1,http://www.gosugamers.net/lol/tournaments/8554-2016-na-lcs-spring/matches/98336-echo-fox-vs-counter-logic-gaming-lol
